trump,clinton,other,undecided,start_date,end_date,observations,state
48,31,7,3,11/1/16,11/7/16,409,AK
53,41,NA,7,10/30/16,11/6/16,308,AK
47,31,6,3,10/30/16,11/6/16,382,AK
46,33,6,3,10/29/16,11/4/16,369,AK
46,35,5,3,10/28/16,11/3/16,334,AK
47,35,3,2,10/27/16,11/2/16,303,AK
46,37,1,3,10/26/16,11/1/16,268,AK
46,38,2,2,10/25/16,10/31/16,300,AK
47,39,2,1,10/24/16,10/30/16,294,AK
55,41,NA,4,10/23/16,10/29/16,304,AK
45,33,4,2,10/20/16,10/28/16,448,AK
43,47,3,NA,10/21/16,10/26/16,400,AK
46,31,5,2,10/18/16,10/26/16,462,AK
46,31,5,2,10/18/16,10/24/16,443,AK
47,29,5,2,10/17/16,10/23/16,388,AK
55,41,NA,5,10/16/16,10/23/16,305,AK
54,41,5,NA,10/9/16,10/16/16,304,AK
53,41,5,NA,10/2/16,10/9/16,305,AK
37,34,2,18,10/5/16,10/6/16,500,AK
46,42,NA,12,9/28/16,10/2/16,660,AK
36,31,6,9,9/28/16,10/2/16,660,AK
55,40,5,NA,9/19/16,10/2/16,457,AK
55,40,5,NA,9/12/16,9/25/16,460,AK
39,31,4,16,9/13/16,9/15/16,500,AK
47,39,NA,14,8/9/16,9/1/16,989,AK
38,31,7,6,8/9/16,9/1/16,989,AK
39,29,4,17,8/27/16,8/29/16,500,AK
55,36,8,2,11/1/16,11/7/16,1131,AL
58,37,NA,5,10/30/16,11/6/16,341,AL
54,36,8,3,10/30/16,11/6/16,971,AL
54,38,NA,8,10/17/16,11/6/16,585,AL
54,36,7,3,10/29/16,11/4/16,900,AL
52,36,8,3,10/28/16,11/3/16,722,AL
55,38,NA,7,10/14/16,11/3/16,578,AL
53,35,8,4,10/27/16,11/2/16,621,AL
52,37,6,4,10/26/16,11/1/16,503,AL
55,35,8,3,10/25/16,10/31/16,485,AL
54,36,9,1,10/24/16,10/30/16,410,AL
58,37,NA,5,10/23/16,10/29/16,349,AL
53,36,10,1,10/20/16,10/28/16,479,AL
51,39,NA,10,10/7/16,10/27/16,505,AL
52,36,11,1,10/18/16,10/26/16,486,AL
52,36,11,2,10/18/16,10/24/16,415,AL
51,37,11,2,10/17/16,10/23/16,346,AL
58,37,NA,5,10/16/16,10/23/16,341,AL
52,38,NA,10,9/30/16,10/20/16,773,AL
57,38,5,NA,10/9/16,10/16/16,327,AL
54,38,NA,8,9/23/16,10/13/16,550,AL
56,38,6,NA,10/2/16,10/9/16,332,AL
57,37,NA,6,9/16/16,10/6/16,580,AL
59,36,5,NA,9/19/16,10/2/16,545,AL
56,37,NA,7,9/9/16,9/29/16,518,AL
58,36,5,NA,9/12/16,9/25/16,558,AL
53,39,NA,8,9/2/16,9/22/16,648,AL
53,40,NA,7,8/26/16,9/15/16,628,AL
57,36,NA,7,8/9/16,9/1/16,958,AL
53,31,10,5,8/9/16,9/1/16,958,AL
56,32,9,2,11/1/16,11/7/16,930,AR
57,37,6,NA,10/30/16,11/6/16,323,AR
55,34,9,2,10/30/16,11/6/16,798,AR
53,38,NA,9,10/17/16,11/6/16,515,AR
55,34,9,2,10/29/16,11/4/16,781,AR
55,34,9,2,10/28/16,11/3/16,696,AR
50,39,NA,11,10/14/16,11/3/16,493,AR
53,36,8,2,10/27/16,11/2/16,593,AR
52,38,8,2,10/26/16,11/1/16,475,AR
52,39,7,2,10/25/16,10/31/16,484,AR
53,37,7,2,10/24/16,10/30/16,446,AR
58,37,5,NA,10/23/16,10/29/16,324,AR
52,36,9,2,10/20/16,10/28/16,524,AR
53,34,NA,13,10/7/16,10/27/16,681,AR
53,34,11,2,10/18/16,10/26/16,570,AR
51,31,NA,18,10/18/16,10/25/16,585,AR
54,33,12,2,10/18/16,10/24/16,498,AR
54,32,11,2,10/17/16,10/23/16,410,AR
58,37,6,NA,10/16/16,10/23/16,314,AR
53,34,NA,13,9/30/16,10/20/16,464,AR
58,37,6,NA,10/9/16,10/16/16,323,AR
52,36,NA,12,9/23/16,10/13/16,495,AR
56,37,7,NA,10/2/16,10/9/16,319,AR
53,38,NA,9,9/16/16,10/6/16,475,AR
59,36,6,NA,9/19/16,10/2/16,483,AR
50,41,NA,9,9/9/16,9/29/16,462,AR
58,36,7,NA,9/12/16,9/25/16,483,AR
49,41,NA,10,9/2/16,9/22/16,433,AR
51,41,NA,8,8/26/16,9/15/16,437,AR
54,41,NA,5,8/9/16,9/1/16,765,AR
46,37,14,4,8/9/16,9/1/16,765,AR
47,36,8,9,6/21/16,6/21/16,751,AR
42,45,3,3,11/1/16,11/7/16,2609,AZ
43,41,3,8,11/4/16,11/6/16,392,AZ
47,44,4,1,11/4/16,11/6/16,550,AZ
50,43,7,NA,10/30/16,11/6/16,354,AZ
43,45,3,2,10/30/16,11/6/16,2322,AZ
47,42,NA,11,10/17/16,11/6/16,857,AZ
43,44,3,2,10/29/16,11/4/16,2154,AZ
43,44,3,2,10/28/16,11/3/16,1748,AZ
48,42,NA,10,10/14/16,11/3/16,504,AZ
47,39,4,7,11/1/16,11/2/16,550,AZ
43,43,3,3,10/27/16,11/2/16,1461,AZ
46,41,12,2,10/30/16,11/1/16,719,AZ
45,40,5,1,10/30/16,11/1/16,719,AZ
42,41,3,6,10/28/16,11/1/16,1113,AZ
49,44,1,0,10/27/16,11/1/16,769,AZ
51,46,2,0,10/27/16,11/1/16,769,AZ
43,42,3,4,10/26/16,11/1/16,1320,AZ
44,45,4,NA,10/29/16,10/31/16,2229,AZ
44,43,2,3,10/25/16,10/31/16,1457,AZ
45,41,3,8,10/29/16,10/30/16,550,AZ
43,43,3,3,10/24/16,10/30/16,1342,AZ
51,43,5,NA,10/23/16,10/29/16,373,AZ
44,42,9,5,10/26/16,10/28/16,994,AZ
43,42,3,3,10/20/16,10/28/16,1747,AZ
42,40,4,10,10/26/16,10/27/16,550,AZ
42,43,NA,15,10/7/16,10/27/16,954,AZ
43,42,4,2,10/18/16,10/26/16,1752,AZ
46,48,1,NA,10/22/16,10/24/16,2385,AZ
46,45,3,3,10/21/16,10/24/16,401,AZ
42,41,4,2,10/18/16,10/24/16,1550,AZ
41,40,4,2,10/17/16,10/23/16,1291,AZ
51,44,5,NA,10/16/16,10/23/16,363,AZ
45,43,NA,12,9/30/16,10/20/16,675,AZ
41,41,3,10,10/17/16,10/18/16,550,AZ
45,38,8,9,10/6/16,10/18/16,1538,AZ
44,39,4,6,10/6/16,10/18/16,1538,AZ
51,44,6,NA,10/9/16,10/16/16,355,AZ
47,46,NA,7,10/8/16,10/16/16,1028,AZ
44,41,3,2,10/8/16,10/16/16,1028,AZ
38,43,4,8,10/10/16,10/15/16,713,AZ
37,39,8,10,10/14/16,10/14/16,400,AZ
45,39,NA,16,9/23/16,10/13/16,1665,AZ
42,43,NA,10,10/11/16,10/12/16,550,AZ
50,44,6,NA,10/2/16,10/9/16,358,AZ
49,42,NA,9,9/16/16,10/6/16,903,AZ
52,42,6,NA,9/19/16,10/2/16,556,AZ
42,42,1,9,9/28/16,9/30/16,718,AZ
46,44,NA,10,9/9/16,9/29/16,802,AZ
52,42,7,NA,9/12/16,9/25/16,554,AZ
40,38,NA,14,9/20/16,9/22/16,550,AZ
48,42,NA,10,9/2/16,9/22/16,665,AZ
46,39,NA,15,8/26/16,9/15/16,711,AZ
37,33,3,19,9/12/16,9/14/16,484,AZ
42,41,12,4,9/6/16,9/8/16,649,AZ
40,38,4,6,9/6/16,9/8/16,649,AZ
45,46,NA,9,8/9/16,9/1/16,2026,AZ
39,37,4,6,8/9/16,9/1/16,2026,AZ
34,35,2,23,8/17/16,8/31/16,704,AZ
46,43,NA,11,8/26/16,8/28/16,837,AZ
39,40,1,13,8/25/16,8/27/16,728,AZ
49,44,7,0,8/18/16,8/23/16,809,AZ
45,38,6,0,8/18/16,8/23/16,809,AZ
44,42,9,5,8/2/16,8/5/16,1095,AZ
44,40,NA,16,6/22/16,6/23/16,691,AZ
42,47,6,6,6/20/16,6/20/16,1060,AZ
48,43,6,3,6/11/16,6/20/16,300,AZ
45,39,3,4,6/11/16,6/20/16,300,AZ
40,38,2,13,5/13/16,5/15/16,896,AZ
45,41,NA,14,5/13/16,5/15/16,896,AZ
35,42,NA,23,4/4/16,4/11/16,564,AZ
38,38,9,15,3/7/16,3/11/16,701,AZ
44,42,NA,13,12/4/15,12/9/15,504,AZ
31,56,11,2,11/1/16,11/7/16,2712,CA
32,54,7,7,11/4/16,11/6/16,401,CA
37,58,5,NA,10/30/16,11/6/16,507,CA
30,56,11,3,10/30/16,11/6/16,2655,CA
32,59,NA,9,10/17/16,11/6/16,1393,CA
30,56,11,3,10/29/16,11/4/16,2691,CA
29,56,12,3,10/28/16,11/3/16,2528,CA
30,60,NA,10,10/14/16,11/3/16,1524,CA
29,56,12,3,10/27/16,11/2/16,2316,CA
30,55,12,3,10/26/16,11/1/16,2284,CA
35,56,5,4,10/28/16,10/31/16,747,CA
33,53,7,7,10/25/16,10/31/16,1498,CA
30,55,12,3,10/25/16,10/31/16,2505,CA
30,55,12,2,10/24/16,10/30/16,2264,CA
30,54,8,7,10/22/16,10/30/16,1365,CA
33,58,4,6,10/22/16,10/30/16,1365,CA
38,58,4,NA,10/23/16,10/29/16,481,CA
31,54,12,2,10/20/16,10/28/16,2431,CA
26,65,NA,9,10/7/16,10/27/16,1779,CA
31,54,12,2,10/18/16,10/26/16,2358,CA
31,54,13,2,10/18/16,10/24/16,1923,CA
31,53,13,2,10/17/16,10/23/16,1492,CA
38,58,4,NA,10/16/16,10/23/16,507,CA
28,54,12,5,10/14/16,10/23/16,1012,CA
26,64,NA,10,9/30/16,10/20/16,1013,CA
37,58,4,NA,10/9/16,10/16/16,483,CA
30,56,6,7,10/13/16,10/15/16,725,CA
25,61,7,8,10/7/16,10/13/16,622,CA
22,66,NA,12,9/23/16,10/13/16,1196,CA
37,58,5,NA,10/2/16,10/9/16,474,CA
28,61,NA,11,9/16/16,10/6/16,1885,CA
39,57,4,NA,9/19/16,10/2/16,992,CA
24,64,NA,12,9/9/16,9/29/16,1610,CA
33,59,5,3,9/27/16,9/28/16,732,CA
38,57,5,NA,9/12/16,9/25/16,951,CA
28,60,NA,12,9/2/16,9/22/16,1468,CA
31,47,17,6,9/9/16,9/18/16,1045,CA
24,63,NA,13,8/26/16,9/15/16,1189,CA
30,57,4,9,9/12/16,9/14/16,515,CA
33,50,11,6,9/7/16,9/13/16,1426,CA
32,57,4,7,9/8/16,9/11/16,678,CA
33,58,NA,9,9/1/16,9/8/16,4212,CA
29,49,17,5,9/1/16,9/8/16,4212,CA
33,57,NA,9,8/9/16,9/1/16,2574,CA
28,49,19,5,8/9/16,9/1/16,2574,CA
30,46,15,9,7/10/16,7/19/16,1056,CA
28,58,NA,14,6/8/16,7/2/16,956,CA
26,50,10,14,6/8/16,7/2/16,956,CA
28,54,12,6,6/9/16,6/10/16,1264,CA
31,61,NA,8,6/9/16,6/10/16,1264,CA
33,48,12,7,5/31/16,6/3/16,1187,CA
31,55,8,6,5/29/16,5/31/16,1833,CA
34,53,NA,13,5/26/16,5/31/16,1002,CA
33,54,4,10,5/19/16,5/31/16,1150,CA
38,52,NA,10,5/19/16,5/22/16,1383,CA
39,49,7,4,5/13/16,5/22/16,996,CA
33,45,12,10,5/4/16,5/16/16,1196,CA
34,56,NA,10,4/27/16,4/30/16,1683,CA
31,59,NA,10,3/24/16,4/4/16,1400,CA
26,60,NA,14,3/30/16,4/3/16,1507,CA
30,57,5,8,3/16/16,3/23/16,1202,CA
40,43,4,2,11/1/16,11/7/16,2777,CO
44,50,6,NA,10/30/16,11/6/16,343,CO
39,43,4,2,10/30/16,11/6/16,2412,CO
42,48,NA,10,10/17/16,11/6/16,696,CO
43,48,3,3,11/3/16,11/4/16,704,CO
45,50,NA,5,11/3/16,11/4/16,704,CO
40,43,4,2,10/29/16,11/4/16,2302,CO
38,43,7,6,11/2/16,11/3/16,605,CO
40,44,3,2,10/28/16,11/3/16,1927,CO
42,48,NA,10,10/14/16,11/3/16,713,CO
41,42,5,6,11/1/16,11/2/16,1863,CO
40,40,10,3,11/1/16,11/2/16,1125,CO
38,44,4,7,11/1/16,11/2/16,500,CO
40,44,4,2,10/27/16,11/2/16,1631,CO
37,44,3,8,10/28/16,11/1/16,972,CO
40,43,4,2,10/26/16,11/1/16,1402,CO
41,42,10,7,10/29/16,10/31/16,550,CO
39,39,9,9,10/29/16,10/31/16,550,CO
39,43,4,2,10/25/16,10/31/16,1532,CO
44,45,3,4,10/30/16,10/30/16,952,CO
39,44,4,2,10/24/16,10/30/16,1417,CO
46,50,5,NA,10/23/16,10/29/16,342,CO
39,42,6,5,10/26/16,10/28/16,997,CO
38,45,4,2,10/20/16,10/28/16,1731,CO
43,46,NA,11,10/7/16,10/27/16,598,CO
38,45,4,2,10/18/16,10/26/16,1800,CO
38,44,3,3,10/18/16,10/24/16,1595,CO
34,44,13,NA,10/17/16,10/24/16,1004,CO
38,44,3,3,10/17/16,10/23/16,1318,CO
45,50,5,NA,10/16/16,10/23/16,344,CO
43,45,2,4,10/20/16,10/22/16,1581,CO
41,45,NA,14,9/30/16,10/20/16,575,CO
37,45,4,5,10/10/16,10/16/16,685,CO
40,51,2,8,10/10/16,10/16/16,685,CO
45,50,5,NA,10/9/16,10/16/16,336,CO
41,50,NA,8,10/8/16,10/16/16,956,CO
37,44,4,3,10/8/16,10/16/16,956,CO
35,40,7,6,10/12/16,10/13/16,500,CO
39,44,2,9,10/12/16,10/13/16,1226,CO
41,47,NA,12,9/23/16,10/13/16,695,CO
44,50,6,NA,10/2/16,10/9/16,338,CO
45,45,NA,10,9/16/16,10/6/16,710,CO
40,40,3,6,10/3/16,10/4/16,1246,CO
38,49,4,3,9/29/16,10/2/16,400,CO
47,48,5,NA,9/19/16,10/2/16,553,CO
33,44,7,6,9/27/16,9/29/16,602,CO
45,43,NA,12,9/9/16,9/29/16,622,CO
40,46,2,6,9/27/16,9/28/16,694,CO
44,51,NA,5,9/27/16,9/28/16,694,CO
42,41,3,0,9/20/16,9/25/16,784,CO
47,49,3,0,9/20/16,9/25/16,784,CO
45,49,6,NA,9/12/16,9/25/16,538,CO
39,40,11,10,9/21/16,9/23/16,991,CO
44,42,NA,14,9/2/16,9/22/16,534,CO
42,44,2,2,9/13/16,9/21/16,644,CO
47,47,2,4,9/13/16,9/21/16,644,CO
35,44,14,7,9/14/16,9/18/16,350,CO
34,41,3,10,9/14/16,9/18/16,350,CO
43,40,NA,17,8/26/16,9/15/16,563,CO
44,46,NA,10,8/9/16,9/1/16,2428,CO
37,37,6,4,8/9/16,9/1/16,2428,CO
36,41,4,6,8/29/16,8/31/16,500,CO
39,49,4,9,8/9/16,8/16/16,830,CO
33,41,7,3,8/9/16,8/16/16,830,CO
32,46,15,6,8/4/16,8/10/16,899,CO
29,41,7,8,8/4/16,8/10/16,899,CO
34,44,11,11,7/9/16,7/12/16,600,CO
28,37,10,13,7/9/16,7/12/16,600,CO
35,48,6,7,7/9/16,7/12/16,404,CO
35,43,21,NA,7/5/16,7/11/16,794,CO
33,39,7,9,7/5/16,7/11/16,794,CO
38,45,14,4,7/7/16,7/9/16,500,CO
41,43,16,NA,7/7/16,7/8/16,1313,CO
38,39,14,NA,7/7/16,7/8/16,1313,CO
39,40,9,10,6/21/16,6/24/16,996,CO
48,37,4,11,11/11/15,11/15/15,1262,CO
36,52,9,3,11/1/16,11/7/16,1387,CT
40,55,5,NA,10/30/16,11/6/16,327,CT
37,51,10,2,10/30/16,11/6/16,1173,CT
40,50,NA,10,10/17/16,11/6/16,515,CT
37,51,10,2,10/29/16,11/4/16,1114,CT
38,52,9,2,10/28/16,11/3/16,925,CT
41,49,NA,10,10/14/16,11/3/16,516,CT
38,52,9,2,10/27/16,11/2/16,753,CT
38,51,9,2,10/26/16,11/1/16,616,CT
39,51,9,2,10/25/16,10/31/16,554,CT
39,51,7,2,10/24/16,10/30/16,488,CT
43,54,3,NA,10/23/16,10/29/16,326,CT
38,51,9,2,10/20/16,10/28/16,568,CT
36,51,NA,13,10/7/16,10/27/16,640,CT
36,51,11,2,10/18/16,10/26/16,614,CT
36,50,11,2,10/18/16,10/24/16,515,CT
36,51,12,2,10/17/16,10/23/16,428,CT
42,55,3,NA,10/16/16,10/23/16,329,CT
35,53,NA,12,9/30/16,10/20/16,647,CT
42,55,4,NA,10/9/16,10/16/16,326,CT
36,53,NA,11,9/23/16,10/13/16,741,CT
42,54,4,NA,10/2/16,10/9/16,331,CT
35,53,NA,12,9/16/16,10/6/16,506,CT
43,54,4,NA,9/19/16,10/2/16,520,CT
34,52,NA,14,9/9/16,9/29/16,666,CT
42,54,4,NA,9/12/16,9/25/16,512,CT
37,47,NA,16,9/2/16,9/22/16,662,CT
37,47,NA,16,8/26/16,9/15/16,674,CT
39,51,NA,10,8/9/16,9/1/16,1053,CT
33,44,17,6,8/9/16,9/1/16,1053,CT
38,45,3,14,6/1/16,6/5/16,1030,CT
40,48,NA,12,4/10/16,4/11/16,1043,CT
40,47,2,11,10/7/15,10/11/15,1735,CT
39,50,8,3,11/1/16,11/7/16,367,DE
42,54,4,NA,10/30/16,11/6/16,307,DE
39,49,9,3,10/30/16,11/6/16,383,DE
36,51,10,3,10/29/16,11/4/16,398,DE
36,50,10,3,10/28/16,11/3/16,405,DE
36,50,10,4,10/27/16,11/2/16,397,DE
38,50,8,5,10/26/16,11/1/16,413,DE
38,50,9,4,10/25/16,10/31/16,458,DE
38,51,8,3,10/24/16,10/30/16,429,DE
42,55,3,NA,10/23/16,10/29/16,308,DE
36,52,9,3,10/20/16,10/28/16,548,DE
34,53,11,2,10/18/16,10/26/16,581,DE
34,52,12,2,10/18/16,10/24/16,528,DE
34,53,12,2,10/17/16,10/23/16,444,DE
42,56,3,NA,10/16/16,10/23/16,305,DE
42,56,3,NA,10/9/16,10/16/16,315,DE
41,55,3,NA,10/2/16,10/9/16,312,DE
43,54,3,NA,9/19/16,10/2/16,475,DE
30,51,9,9,9/16/16,9/28/16,762,DE
42,54,3,NA,9/12/16,9/25/16,479,DE
36,50,NA,14,8/9/16,9/1/16,637,DE
33,43,16,8,8/9/16,9/1/16,637,DE
32,42,14,12,7/20/16,7/24/16,715,DE
45,47,2,2,11/1/16,11/7/16,4092,FL
46,48,1,1,11/5/16,11/6/16,853,FL
45,46,2,5,11/3/16,11/6/16,884,FL
46,46,3,5,11/3/16,11/6/16,884,FL
47,47,5,NA,10/30/16,11/6/16,438,FL
45,47,2,2,10/30/16,11/6/16,3574,FL
47,48,NA,5,10/17/16,11/6/16,1274,FL
45,45,4,2,11/2/16,11/4/16,1188,FL
45,47,2,2,10/29/16,11/4/16,3600,FL
45,47,2,2,10/28/16,11/3/16,3356,FL
47,48,NA,5,10/14/16,11/3/16,1342,FL
48,45,2,3,11/1/16,11/2/16,2352,FL
45,49,1,2,11/1/16,11/2/16,603,FL
44,47,2,2,10/27/16,11/2/16,2901,FL
45,46,3,4,10/27/16,11/1/16,626,FL
45,47,3,4,10/27/16,11/1/16,626,FL
47,49,2,0,10/27/16,11/1/16,773,FL
49,50,1,0,10/27/16,11/1/16,773,FL
44,47,2,2,10/26/16,11/1/16,2715,FL
49,51,NA,NA,10/31/16,10/31/16,1995,FL
46,49,1,1,10/31/16,10/31/16,1995,FL
45,46,2,2,10/25/16,10/31/16,2809,FL
48,44,2,4,10/30/16,10/30/16,989,FL
40,48,7,0,10/25/16,10/30/16,718,FL
45,46,2,2,10/24/16,10/30/16,2634,FL
47,48,5,NA,10/23/16,10/29/16,408,FL
44,47,2,3,10/20/16,10/28/16,3129,FL
46,42,3,6,10/25/16,10/27/16,814,FL
48,45,0,7,10/25/16,10/27/16,814,FL
45,49,NA,6,10/7/16,10/27/16,1110,FL
46,42,3,6,10/25/16,10/26/16,698,FL
46,46,7,1,10/25/16,10/26/16,779,FL
44,45,5,2,10/25/16,10/26/16,779,FL
37,50,1,7,10/22/16,10/26/16,1028,FL
35,49,6,8,10/22/16,10/26/16,1028,FL
44,47,2,3,10/18/16,10/26/16,3193,FL
44,46,3,6,10/20/16,10/25/16,786,FL
39,43,3,9,10/20/16,10/25/16,819,FL
46,45,4,5,10/21/16,10/24/16,953,FL
45,43,3,6,10/21/16,10/24/16,953,FL
45,48,4,0,10/20/16,10/24/16,1251,FL
44,47,2,3,10/18/16,10/24/16,2765,FL
44,47,2,3,10/17/16,10/23/16,2243,FL
47,49,5,NA,10/16/16,10/23/16,399,FL
46,46,2,5,10/20/16,10/22/16,1646,FL
43,46,4,3,10/20/16,10/21/16,1042,FL
45,49,2,2,10/20/16,10/20/16,538,FL
44,48,NA,8,9/30/16,10/20/16,879,FL
39,45,2,8,10/17/16,10/18/16,892,FL
44,48,2,4,10/10/16,10/16/16,660,FL
45,49,1,5,10/10/16,10/16/16,660,FL
46,49,5,NA,10/9/16,10/16/16,401,FL
47,47,NA,6,10/8/16,10/16/16,1702,FL
45,43,3,3,10/8/16,10/16/16,1702,FL
42,46,1,6,10/12/16,10/13/16,985,FL
44,49,NA,7,10/12/16,10/13/16,985,FL
42,46,1,10,10/11/16,10/13/16,1799,FL
42,48,NA,10,9/23/16,10/13/16,1799,FL
40,42,7,11,10/5/16,10/12/16,1532,FL
38,42,4,10,10/5/16,10/12/16,1532,FL
44,47,1,3,10/10/16,10/11/16,533,FL
43,49,0,7,10/5/16,10/9/16,500,FL
47,48,6,NA,10/2/16,10/9/16,398,FL
44,49,NA,7,9/16/16,10/6/16,1360,FL
44,46,7,3,10/3/16,10/5/16,700,FL
42,45,4,4,10/3/16,10/5/16,700,FL
40,47,4,9,9/27/16,10/4/16,661,FL
38,41,5,10,9/27/16,10/4/16,686,FL
41,46,2,5,9/27/16,10/2/16,545,FL
44,49,1,6,9/27/16,10/2/16,545,FL
47,46,5,NA,9/19/16,10/2/16,785,FL
46,47,2,1,9/28/16,9/29/16,619,FL
42,46,1,4,9/27/16,9/29/16,820,FL
46,48,NA,6,9/9/16,9/29/16,1030,FL
43,45,1,8,9/27/16,9/28/16,826,FL
45,48,NA,7,9/27/16,9/28/16,826,FL
48,46,5,NA,9/12/16,9/25/16,764,FL
45,49,NA,6,9/2/16,9/22/16,1167,FL
45,44,1,8,9/19/16,9/21/16,500,FL
41,43,2,6,9/15/16,9/20/16,617,FL
41,46,2,5,9/16/16,9/19/16,400,FL
44,49,2,NA,9/10/16,9/16/16,475,FL
50,46,NA,4,8/26/16,9/15/16,1065,FL
43,43,3,10,9/10/16,9/14/16,867,FL
40,41,11,8,9/10/16,9/14/16,867,FL
47,44,1,1,9/7/16,9/12/16,788,FL
50,46,3,0,9/7/16,9/12/16,788,FL
42,44,4,6,9/7/16,9/9/16,1193,FL
47,47,2,5,8/29/16,9/7/16,761,FL
43,43,2,3,8/29/16,9/7/16,761,FL
44,43,2,6,9/4/16,9/6/16,744,FL
46,47,NA,7,9/4/16,9/6/16,744,FL
44,46,NA,10,8/9/16,9/1/16,3287,FL
40,42,3,6,8/9/16,9/1/16,3287,FL
37,42,6,8,8/18/16,8/24/16,600,FL
44,43,7,5,8/17/16,8/22/16,608,FL
44,41,2,4,8/17/16,8/22/16,608,FL
38,52,2,NA,8/14/16,8/18/16,1380,FL
39,48,2,5,8/12/16,8/15/16,402,FL
40,45,4,4,8/10/16,8/12/16,1194,FL
44,45,1,3,8/10/16,8/10/16,622,FL
39,44,11,7,8/4/16,8/10/16,862,FL
36,41,6,9,8/4/16,8/10/16,862,FL
45,46,3,5,7/30/16,8/7/16,1056,FL
43,43,3,3,7/30/16,8/7/16,1056,FL
42,48,NA,10,8/1/16,8/3/16,500,FL
39,43,3,12,8/1/16,8/3/16,500,FL
37,44,13,7,7/5/16,7/11/16,871,FL
36,41,6,10,7/5/16,7/11/16,871,FL
42,39,6,13,6/30/16,7/11/16,1015,FL
41,36,6,11,6/30/16,7/11/16,1015,FL
47,42,1,8,7/9/16,7/10/16,700,FL
40,45,2,7,7/6/16,7/10/16,1100,FL
49,45,6,NA,6/27/16,6/28/16,1619,FL
47,45,NA,8,6/26/16,6/28/16,800,FL
42,46,5,5,6/25/16,6/27/16,1678,FL
41,44,8,7,6/21/16,6/24/16,1192,FL
39,52,6,3,6/11/16,6/20/16,300,FL
38,49,2,2,6/11/16,6/20/16,300,FL
39,47,2,12,6/8/16,6/19/16,975,FL
36,42,5,10,6/8/16,6/19/16,975,FL
41,40,2,13,6/2/16,6/5/16,737,FL
45,44,NA,11,6/2/16,6/5/16,737,FL
42,45,NA,7,5/31/16,6/2/16,625,FL
42,43,NA,15,5/16/16,5/19/16,995,FL
42,46,NA,12,5/17/16,5/18/16,2542,FL
42,43,2,13,4/27/16,5/8/16,1051,FL
36,49,NA,15,4/25/16,4/27/16,604,FL
41,49,NA,9,3/4/16,3/10/16,2422,FL
45,44,NA,12,3/4/16,3/6/16,1961,FL
43,50,7,1,3/2/16,3/6/16,854,FL
46,44,NA,10,2/24/16,2/25/16,1012,FL
38,45,3,14.5,1/30/16,2/6/16,608,FL
47,44,NA,9,1/15/16,1/18/16,1008,FL
41,49,NA,NA,11/29/15,12/3/15,404,FL
49,41,NA,10,11/15/15,11/16/15,829,FL
47,43,NA,9,10/28/15,11/1/15,2400,FL
41,46,3,10,9/25/15,10/5/15,1173,FL
46,45,NA,10,9/17/15,9/20/15,801,FL
41,42,NA,NA,9/16/15,9/20/15,605,FL
48,42,NA,9,9/11/15,9/13/15,814,FL
43,41,3,13,8/7/15,8/18/15,1093,FL
45,45,NA,3,11/1/16,11/7/16,2419,GA
49,46,NA,2,11/6/16,11/6/16,1200,GA
50,44,6,NA,10/30/16,11/6/16,366,GA
45,45,NA,4,10/30/16,11/6/16,2348,GA
48,42,NA,10,10/17/16,11/6/16,691,GA
49,43,1,3,11/3/16,11/5/16,995,GA
45,45,NA,4,10/29/16,11/4/16,2568,GA
48,46,NA,2,11/2/16,11/3/16,1000,GA
49,45,NA,1,11/2/16,11/3/16,538,GA
46,44,NA,4,10/28/16,11/3/16,2872,GA
48,42,NA,10,10/14/16,11/3/16,706,GA
45,45,NA,4,10/27/16,11/2/16,2722,GA
47,46,6,1,10/30/16,11/1/16,707,GA
45,44,2,1,10/30/16,11/1/16,707,GA
45,44,NA,4,10/26/16,11/1/16,2678,GA
46,44,NA,3,10/25/16,10/31/16,2665,GA
46,44,NA,3,10/24/16,10/30/16,2517,GA
50,45,6,NA,10/23/16,10/29/16,365,GA
45,44,NA,3,10/20/16,10/28/16,2433,GA
49,42,NA,6,10/25/16,10/27/16,594,GA
48,43,NA,9,10/7/16,10/27/16,861,GA
44,43,0,5,10/20/16,10/26/16,707,GA
46,46,1,7,10/20/16,10/26/16,707,GA
46,44,NA,2,10/18/16,10/26/16,2567,GA
47,44,NA,2,10/18/16,10/24/16,2235,GA
46,44,NA,2,10/17/16,10/23/16,1906,GA
48,46,6,NA,10/16/16,10/23/16,367,GA
50,46,NA,1,10/20/16,10/20/16,570,GA
47,43,NA,5,10/20/16,10/20/16,600,GA
44,42,2,4,10/17/16,10/20/16,839,GA
49,41,NA,10,9/30/16,10/20/16,826,GA
40,44,1,8,10/17/16,10/18/16,807,GA
49,45,6,NA,10/9/16,10/16/16,351,GA
45,48,NA,7,10/8/16,10/16/16,886,GA
41,45,2,3,10/8/16,10/16/16,886,GA
50,42,NA,8,9/23/16,10/13/16,1020,GA
48,42,NA,6,10/11/16,10/12/16,1400,GA
49,45,7,NA,10/2/16,10/9/16,360,GA
48,43,NA,9,9/16/16,10/6/16,583,GA
52,43,6,NA,9/19/16,10/2/16,626,GA
51,38,NA,11,9/9/16,9/29/16,508,GA
51,43,7,NA,9/12/16,9/25/16,639,GA
47,43,NA,5,9/21/16,9/22/16,600,GA
46,43,NA,11,9/2/16,9/22/16,947,GA
